state,state_code,state_type,district,district_code,latitude,longitude
Arunachal Pradesh,AR,State,Lower Siang,AR-LOW,27.8,94.7
Arunachal Pradesh,AR,State,Lower Dibang Valley,AR-LOW,28.15,95.83
Arunachal Pradesh,AR,State,Dibang Valley,AR-DIB,28.8,95.9
Arunachal Pradesh,AR,State,Anjaw,AR-ANJ,28.0,96.5
Arunachal Pradesh,AR,State,Lohit,AR-LOH,27.92,96.17
Arunachal Pradesh,AR,State,Namsai,AR-NAM,27.67,95.87
Arunachal Pradesh,AR,State,Changlang,AR-CHA,27.15,95.73
Arunachal Pradesh,AR,State,Tirap,AR-TIR,27.0,95.5
Arunachal Pradesh,AR,State,Longding,AR-LON,26.85,95.3
Arunachal Pradesh,AR,State,Kamle,AR-KAM,27.7,93.9
Arunachal Pradesh,AR,State,Pakke Kessang,AR-PAK,27.1,93.2
Arunachal Pradesh,AR,State,Lepa Rada,AR-LEP,27.9,94.6
Arunachal Pradesh,AR,State,Shi Yomi,AR-SHI,28.6,94.3
Arunachal Pradesh,AR,State,Itanagar Capital Complex,AR-ITA,27.0844,93.6053
Assam,AS,State,Baksa,AS-BAK,26.68,91.33
Assam,AS,State,Barpeta,AS-BAR,26.32,91.0
Assam,AS,State,Biswanath,AS-BIS,26.73,93.15
Assam,AS,State,Bongaigaon,AS-BON,26.48,90.56
Assam,AS,State,Cachar,AS-CAC,24.83,92.8
Assam,AS,State,Charaideo,AS-CHA,26.93,94.95
Assam,AS,State,Chirang,AS-CHI,26.55,90.5
Assam,AS,State,Darrang,AS-DAR,26.45,92.03
Assam,AS,State,Dhemaji,AS-DHE,27.48,94.58
Assam,AS,State,Dhubri,AS-DHU,26.02,89.98
Assam,AS,State,Dibrugarh,AS-DIB,27.4728,94.912
Assam,AS,State,Dima Hasao,AS-DIM,25.17,93.03
Assam,AS,State,Goalpara,AS-GOA,26.17,90.62
Assam,AS,State,Golaghat,AS-GOL,26.52,93.97
Assam,AS,State,Hailakandi,AS-HAI,24.68,92.57
Assam,AS,State,Hojai,AS-HOJ,26.0,92.87
Assam,AS,State,Jorhat,AS-JOR,26.75,94.22
Assam,AS,State,Kamrup,AS-KAM,26.33,91.6
Assam,AS,State,Kamrup Metropolitan,AS-KAM,26.1445,91.7362
Assam,AS,State,Karbi Anglong,AS-KAR,26.0,93.3
Assam,AS,State,Karimganj,AS-KAR,24.87,92.35
Assam,AS,State,Kokrajhar,AS-KOK,26.4,90.27
Assam,AS,State,Lakhimpur,AS-LAK,27.23,94.1
Assam,AS,State,Majuli,AS-MAJ,26.95,94.2
Assam,AS,State,Morigaon,AS-MOR,26.25,92.33
Assam,AS,State,Nagaon,AS-NAG,26.35,92.68
Assam,AS,State,Nalbari,AS-NAL,26.45,91.43
Assam,AS,State,Sivasagar,AS-SIV,26.98,94.63
Assam,AS,State,Sonitpur,AS-SON,26.63,92.8
Assam,AS,State,South Salmara-Mankachar,AS-SOU,25.7,89.9
Assam,AS,State,Tinsukia,AS-TIN,27.5,95.37
Assam,AS,State,Udalguri,AS-UDA,26.75,92.1
Assam,AS,State,West Karbi Anglong,AS-WES,25.8,92.5
Assam,AS,State,Bajali,AS-BAJ,26.48,91.17
Assam,AS,State,Tamulpur,AS-TAM,26.63,91.57
Bihar,BR,State,Araria,BR-ARA,26.15,87.52
Bihar,BR,State,Arwal,BR-ARW,25.25,84.67
Bihar,BR,State,Aurangabad,BR-AUR,24.75,84.37
Bihar,BR,State,Banka,BR-BAN,24.88,86.92
Bihar,BR,State,Begusarai,BR-BEG,25.42,86.13
Bihar,BR,State,Bhagalpur,BR-BHA,25.25,87.0
Bihar,BR,State,Bhojpur,BR-BHO,25.47,84.52
Bihar,BR,State,Buxar,BR-BUX,25.57,83.98
Bihar,BR,State,Darbhanga,BR-DAR,26.17,85.9
Bihar,BR,State,East Champaran,BR-EAS,26.65,84.92
Bihar,BR,State,Gaya,BR-GAY,24.78,85.0
Bihar,BR,State,Gopalganj,BR-GOP,26.47,84.43
Bihar,BR,State,Jamui,BR-JAM,24.92,86.22
Bihar,BR,State,Jehanabad,BR-JEH,25.22,84.98
Bihar,BR,State,Kaimur,BR-KAI,25.03,83.58
Bihar,BR,State,Katihar,BR-KAT,25.53,87.58
Bihar,BR,State,Khagaria,BR-KHA,25.5,86.48
Bihar,BR,State,Kishanganj,BR-KIS,26.1,87.95
Bihar,BR,State,Lakhisarai,BR-LAK,25.18,86.1
Bihar,BR,State,Madhepura,BR-MAD,25.92,86.78
Bihar,BR,State,Madhubani,BR-MAD,26.37,86.08
Bihar,BR,State,Munger,BR-MUN,25.37,86.47
Bihar,BR,State,Muzaffarpur,BR-MUZ,26.12,85.4
Bihar,BR,State,Nalanda,BR-NAL,25.2,85.52
Bihar,BR,State,Nawada,BR-NAW,24.88,85.53
Bihar,BR,State,Patna,BR-PAT,25.5941,85.1376
Bihar,BR,State,Purnia,BR-PUR,25.78,87.47
Bihar,BR,State,Rohtas,BR-ROH,24.95,84.02
Bihar,BR,State,Saharsa,BR-SAH,25.88,86.6
Bihar,BR,State,Samastipur,BR-SAM,25.85,85.78
Bihar,BR,State,Saran,BR-SAR,25.77,84.73
Bihar,BR,State,Sheikhpura,BR-SHE,25.13,85.85
Bihar,BR,State,Sheohar,BR-SHE,26.52,85.3
Bihar,BR,State,Sitamarhi,BR-SIT,26.6,85.48
Bihar,BR,State,Siwan,BR-SIW,26.22,84.35
Bihar,BR,State,Supaul,BR-SUP,26.12,86.6
Bihar,BR,State,Vaishali,BR-VAI,25.68,85.22
Bihar,BR,State,West Champaran,BR-WES,27.15,84.45
Chhattisgarh,CG,State,Balod,CG-BAL,20.73,81.2
Chhattisgarh,CG,State,Baloda Bazar,CG-BAL,21.66,82.16
Chhattisgarh,CG,State,Balrampur,CG-BAL,23.6,83.6
Chhattisgarh,CG,State,Bastar,CG-BAS,19.1,81.95
Chhattisgarh,CG,State,Bemetara,CG-BEM,21.7,81.55
Chhattisgarh,CG,State,Bijapur,CG-BIJ,18.8,80.82
Chhattisgarh,CG,State,Bilaspur,CG-BIL,22.08,82.15
Chhattisgarh,CG,State,Dantewada,CG-DAN,18.9,81.35
Chhattisgarh,CG,State,Dhamtari,CG-DHA,20.71,81.55
Chhattisgarh,CG,State,Durg,CG-DUR,21.18,81.28
Chhattisgarh,CG,State,Gariaband,CG-GAR,20.95,82.07
Chhattisgarh,CG,State,Gaurela-Pendra-Marwahi,CG-GAU,22.77,81.92
Chhattisgarh,CG,State,Janjgir-Champa,CG-JAN,22.02,82.57
Chhattisgarh,CG,State,Jashpur,CG-JAS,22.9,84.15
Chhattisgarh,CG,State,Kabirdham,CG-KAB,22.02,81.25
Chhattisgarh,CG,State,Kanker,CG-KAN,20.27,81.48
Chhattisgarh,CG,State,Kondagaon,CG-KON,19.6,81.67
Chhattisgarh,CG,State,Korba,CG-KOR,22.35,82.68
Chhattisgarh,CG,State,Koriya,CG-KOR,23.25,82.55
Chhattisgarh,CG,State,Mahasamund,CG-MAH,21.1,82.1
Chhattisgarh,CG,State,Mungeli,CG-MUN,22.07,81.68
Chhattisgarh,CG,State,Narayanpur,CG-NAR,19.72,81.25
Chhattisgarh,CG,State,Raigarh,CG-RAI,21.9,83.4
Chhattisgarh,CG,State,Raipur,CG-RAI,21.2514,81.6296
Chhattisgarh,CG,State,Rajnandgaon,CG-RAJ,21.1,81.03
Chhattisgarh,CG,State,Sukma,CG-SUK,18.4,81.67
Chhattisgarh,CG,State,Surajpur,CG-SUR,23.22,82.87
Chhattisgarh,CG,State,Surguja,CG-SUR,23.12,83.2
Chhattisgarh,CG,State,Manendragarh-Chirmiri-Bharatpur,CG-MAN,23.17,82.35
Chhattisgarh,CG,State,Mohla-Manpur-Ambagarh Chowki,CG-MOH,20.8,80.7
Chhattisgarh,CG,State,Sakti,CG-SAK,22.03,82.97
Chhattisgarh,CG,State,Sarangarh-Bilaigarh,CG-SAR,21.6,83.08
Chhattisgarh,CG,State,Khairagarh-Chhuikhadan-Gandai,CG-KHA,21.42,80.97
Goa,GA,State,North Goa,GA-NOR,15.55,73.85
Goa,GA,State,South Goa,GA-SOU,15.28,74.0
Gujarat,GJ,State,Ahmedabad,GJ-AHM,23.0225,72.5714
Gujarat,GJ,State,Amreli,GJ-AMR,21.6,71.22
Gujarat,GJ,State,Anand,GJ-ANA,22.56,72.95
Gujarat,GJ,State,Aravalli,GJ-ARA,23.5,73.15
Gujarat,GJ,State,Banaskantha,GJ-BAN,24.17,72.43
Gujarat,GJ,State,Bharuch,GJ-BHA,21.7,72.97
Gujarat,GJ,State,Bhavnagar,GJ-BHA,21.77,72.15
Gujarat,GJ,State,Botad,GJ-BOT,22.17,71.67
Gujarat,GJ,State,Chhota Udaipur,GJ-CHH,22.3,74.02
Gujarat,GJ,State,Dahod,GJ-DAH,22.83,74.25
Gujarat,GJ,State,Dang,GJ-DAN,20.75,73.7
Gujarat,GJ,State,Devbhumi Dwarka,GJ-DEV,22.24,68.97
Gujarat,GJ,State,Gandhinagar,GJ-GAN,23.2156,72.6369
Gujarat,GJ,State,Gir Somnath,GJ-GIR,20.9,70.37
Gujarat,GJ,State,Jamnagar,GJ-JAM,22.47,70.07
Gujarat,GJ,State,Junagadh,GJ-JUN,21.52,70.47
Gujarat,GJ,State,Kheda,GJ-KHE,22.75,72.68
Gujarat,GJ,State,Kutch,GJ-KUT,23.25,69.67
Gujarat,GJ,State,Mahisagar,GJ-MAH,23.17,73.57
Gujarat,GJ,State,Mehsana,GJ-MEH,23.6,72.4
Gujarat,GJ,State,Morbi,GJ-MOR,22.82,70.83
Gujarat,GJ,State,Narmada,GJ-NAR,21.87,73.5
Gujarat,GJ,State,Navsari,GJ-NAV,20.95,72.93
Gujarat,GJ,State,Panchmahal,GJ-PAN,22.77,73.62
Gujarat,GJ,State,Patan,GJ-PAT,23.85,72.12
Gujarat,GJ,State,Porbandar,GJ-POR,21.63,69.6
Gujarat,GJ,State,Rajkot,GJ-RAJ,22.3,70.78
Gujarat,GJ,State,Sabarkantha,GJ-SAB,23.6,73.0
Gujarat,GJ,State,Surat,GJ-SUR,21.1702,72.8311
Gujarat,GJ,State,Surendranagar,GJ-SUR,22.72,71.63
Gujarat,GJ,State,Tapi,GJ-TAP,21.12,73.4
Gujarat,GJ,State,Vadodara,GJ-VAD,22.3072,73.1812
Gujarat,GJ,State,Valsad,GJ-VAL,20.6,72.93
Haryana,HR,State,Ambala,HR-AMB,30.38,76.78
Haryana,HR,State,Bhiwani,HR-BHI,28.78,76.13
Haryana,HR,State,Charkhi Dadri,HR-CHA,28.6,76.27
Haryana,HR,State,Faridabad,HR-FAR,28.42,77.32
Haryana,HR,State,Fatehabad,HR-FAT,29.52,75.45
Haryana,HR,State,Gurugram,HR-GUR,28.4595,77.0266
Haryana,HR,State,Hisar,HR-HIS,29.17,75.72
Haryana,HR,State,Jhajjar,HR-JHA,28.6,76.65
Haryana,HR,State,Jind,HR-JIN,29.32,76.32
Haryana,HR,State,Kaithal,HR-KAI,29.8,76.4
Haryana,HR,State,Karnal,HR-KAR,29.68,76.98
Haryana,HR,State,Kurukshetra,HR-KUR,29.97,76.88
Haryana,HR,State,Mahendragarh,HR-MAH,28.28,76.15
Haryana,HR,State,Nuh,HR-NUH,28.12,77.0
Haryana,HR,State,Palwal,HR-PAL,28.15,77.33
Haryana,HR,State,Panchkula,HR-PAN,30.74,76.86
Haryana,HR,State,Panipat,HR-PAN,29.39,76.97
Haryana,HR,State,Rewari,HR-REW,28.18,76.62
Haryana,HR,State,Rohtak,HR-ROH,28.9,76.57
Haryana,HR,State,Sirsa,HR-SIR,29.53,75.03
Haryana,HR,State,Sonipat,HR-SON,28.98,77.02
Haryana,HR,State,Yamunanagar,HR-YAM,30.13,77.28
Himachal Pradesh,HP,State,Bilaspur,HP-BIL,31.33,76.75
Himachal Pradesh,HP,State,Chamba,HP-CHA,32.55,76.13
Himachal Pradesh,HP,State,Hamirpur,HP-HAM,31.68,76.52
Himachal Pradesh,HP,State,Kangra,HP-KAN,32.1,76.27
Himachal Pradesh,HP,State,Kinnaur,HP-KIN,31.58,78.27
Himachal Pradesh,HP,State,Kullu,HP-KUL,31.95,77.1
Himachal Pradesh,HP,State,Lahaul and Spiti,HP-LAH,32.3,77.6
Himachal Pradesh,HP,State,Mandi,HP-MAN,31.7,76.92
Himachal Pradesh,HP,State,Shimla,HP-SHI,31.1048,77.1734
Himachal Pradesh,HP,State,Sirmaur,HP-SIR,30.55,77.3
Himachal Pradesh,HP,State,Solan,HP-SOL,30.9,77.1
Himachal Pradesh,HP,State,Una,HP-UNA,31.47,76.27
Jharkhand,JH,State,Bokaro,JH-BOK,23.67,86.15
Jharkhand,JH,State,Chatra,JH-CHA,24.22,84.87
Jharkhand,JH,State,Deoghar,JH-DEO,24.48,86.7
Jharkhand,JH,State,Dhanbad,JH-DHA,23.8,86.43
Jharkhand,JH,State,Dumka,JH-DUM,24.27,87.25
Jharkhand,JH,State,East Singhbhum,JH-EAS,22.8,86.2
Jharkhand,JH,State,Garhwa,JH-GAR,24.18,83.8
Jharkhand,JH,State,Giridih,JH-GIR,24.18,86.3
Jharkhand,JH,State,Godda,JH-GOD,24.83,87.22
Jharkhand,JH,State,Gumla,JH-GUM,23.05,84.55
Jharkhand,JH,State,Hazaribagh,JH-HAZ,24.0,85.37
Jharkhand,JH,State,Jamtara,JH-JAM,23.97,86.8
Jharkhand,JH,State,Khunti,JH-KHU,23.07,85.28
Jharkhand,JH,State,Koderma,JH-KOD,24.47,85.6
Jharkhand,JH,State,Latehar,JH-LAT,23.75,84.5
Jharkhand,JH,State,Lohardaga,JH-LOH,23.43,84.68
Jharkhand,JH,State,Pakur,JH-PAK,24.63,87.85
Jharkhand,JH,State,Palamu,JH-PAL,24.05,84.07
Jharkhand,JH,State,Ramgarh,JH-RAM,23.63,85.52
Jharkhand,JH,State,Ranchi,JH-RAN,23.3441,85.3096
Jharkhand,JH,State,Sahebganj,JH-SAH,25.25,87.65
Jharkhand,JH,State,Seraikela Kharsawan,JH-SER,22.7,85.93
Jharkhand,JH,State,Simdega,JH-SIM,22.62,84.5
Jharkhand,JH,State,West Singhbhum,JH-WES,22.57,85.82
Karnataka,KA,State,Bagalkot,KA-BAG,16.18,75.7
Karnataka,KA,State,Ballari,KA-BAL,15.15,76.92
Karnataka,KA,State,Belagavi,KA-BEL,15.87,74.5
Karnataka,KA,State,Bengaluru Rural,KA-BEN,13.23,77.58
Karnataka,KA,State,Bengaluru Urban,KA-BEN,12.9716,77.5946
Karnataka,KA,State,Bidar,KA-BID,17.92,77.52
Karnataka,KA,State,Chamarajanagar,KA-CHA,11.92,76.95
Karnataka,KA,State,Chikkaballapura,KA-CHI,13.43,77.73
Karnataka,KA,State,Chikkamagaluru,KA-CHI,13.32,75.77
Karnataka,KA,State,Chitradurga,KA-CHI,14.23,76.4
Karnataka,KA,State,Dakshina Kannada,KA-DAK,12.87,74.88
Karnataka,KA,State,Davanagere,KA-DAV,14.47,75.92
Karnataka,KA,State,Dharwad,KA-DHA,15.45,75.0
Karnataka,KA,State,Gadag,KA-GAD,15.42,75.63
Karnataka,KA,State,Hassan,KA-HAS,13.0,76.1
Karnataka,KA,State,Haveri,KA-HAV,14.8,75.4
Karnataka,KA,State,Kalaburagi,KA-KAL,17.33,76.83
Karnataka,KA,State,Kodagu,KA-KOD,12.42,75.73
Karnataka,KA,State,Kolar,KA-KOL,13.13,78.13
Karnataka,KA,State,Koppal,KA-KOP,15.35,76.15
Karnataka,KA,State,Mandya,KA-MAN,12.52,76.9
Karnataka,KA,State,Mysuru,KA-MYS,12.3,76.65
Karnataka,KA,State,Raichur,KA-RAI,16.2,77.37
Karnataka,KA,State,Ramanagara,KA-RAM,12.72,77.28
Karnataka,KA,State,Shivamogga,KA-SHI,13.93,75.57
Karnataka,KA,State,Tumakuru,KA-TUM,13.34,77.1
Karnataka,KA,State,Udupi,KA-UDU,13.33,74.75
Karnataka,KA,State,Uttara Kannada,KA-UTT,14.82,74.13
Karnataka,KA,State,Vijayapura,KA-VIJ,16.83,75.72
Karnataka,KA,State,Yadgir,KA-YAD,16.77,77.13
Karnataka,KA,State,Vijayanagara,KA-VIJ,15.28,76.38
Kerala,KL,State,Alappuzha,KL-ALA,9.49,76.33
Kerala,KL,State,Ernakulam,KL-ERN,9.98,76.3
Kerala,KL,State,Idukki,KL-IDU,9.85,76.97
Kerala,KL,State,Kannur,KL-KAN,11.87,75.37
Kerala,KL,State,Kasaragod,KL-KAS,12.5,75.0
Kerala,KL,State,Kollam,KL-KOL,8.88,76.6
Kerala,KL,State,Kottayam,KL-KOT,9.58,76.52
Kerala,KL,State,Kozhikode,KL-KOZ,11.25,75.77
Kerala,KL,State,Malappuram,KL-MAL,11.07,76.07
Kerala,KL,State,Palakkad,KL-PAL,10.77,76.65
Kerala,KL,State,Pathanamthitta,KL-PAT,9.27,76.78
Kerala,KL,State,Thiruvananthapuram,KL-THI,8.5241,76.9366
Kerala,KL,State,Thrissur,KL-THR,10.52,76.22
Kerala,KL,State,Wayanad,KL-WAY,11.6,76.08
Madhya Pradesh,MP,State,Agar Malwa,MP-AGA,23.7,76.02
Madhya Pradesh,MP,State,Alirajpur,MP-ALI,22.3,74.35
Madhya Pradesh,MP,State,Anuppur,MP-ANU,23.1,81.68
Madhya Pradesh,MP,State,Ashoknagar,MP-ASH,24.58,77.73
Madhya Pradesh,MP,State,Balaghat,MP-BAL,21.8,80.18
Madhya Pradesh,MP,State,Barwani,MP-BAR,22.03,74.9
Madhya Pradesh,MP,State,Betul,MP-BET,21.9,77.9
Madhya Pradesh,MP,State,Bhind,MP-BHI,26.57,78.78
Madhya Pradesh,MP,State,Bhopal,MP-BHO,23.2599,77.4126
Madhya Pradesh,MP,State,Burhanpur,MP-BUR,21.3,76.23
Madhya Pradesh,MP,State,Chhatarpur,MP-CHH,24.9,79.6
Madhya Pradesh,MP,State,Chhindwara,MP-CHH,22.05,78.93
Madhya Pradesh,MP,State,Damoh,MP-DAM,23.83,79.43
Madhya Pradesh,MP,State,Datia,MP-DAT,25.67,78.47
Madhya Pradesh,MP,State,Dewas,MP-DEW,22.97,76.05
Madhya Pradesh,MP,State,Dhar,MP-DHA,22.6,75.3
Madhya Pradesh,MP,State,Dindori,MP-DIN,22.95,81.08
Madhya Pradesh,MP,State,Guna,MP-GUN,24.65,77.32
Madhya Pradesh,MP,State,Gwalior,MP-GWA,26.22,78.18
Madhya Pradesh,MP,State,Harda,MP-HAR,22.33,77.1
Madhya Pradesh,MP,State,Hoshangabad,MP-HOS,22.75,77.72
Madhya Pradesh,MP,State,Indore,MP-IND,22.7196,75.8577
Madhya Pradesh,MP,State,Jabalpur,MP-JAB,23.18,79.95
Madhya Pradesh,MP,State,Jhabua,MP-JHA,22.77,74.6
Madhya Pradesh,MP,State,Katni,MP-KAT,23.83,80.4
Madhya Pradesh,MP,State,Khandwa,MP-KHA,21.82,76.35
Madhya Pradesh,MP,State,Khargone,MP-KHA,21.82,75.62
Madhya Pradesh,MP,State,Mandla,MP-MAN,22.6,80.37
Madhya Pradesh,MP,State,Mandsaur,MP-MAN,24.07,75.07
Madhya Pradesh,MP,State,Morena,MP-MOR,26.5,78.0
Madhya Pradesh,MP,State,Narsinghpur,MP-NAR,22.95,79.2
Madhya Pradesh,MP,State,Neemuch,MP-NEE,24.47,74.87
Madhya Pradesh,MP,State,Niwari,MP-NIW,25.37,78.8
Madhya Pradesh,MP,State,Panna,MP-PAN,24.72,80.2
Madhya Pradesh,MP,State,Raisen,MP-RAI,23.33,77.78
Madhya Pradesh,MP,State,Rajgarh,MP-RAJ,24.0,76.73
Madhya Pradesh,MP,State,Ratlam,MP-RAT,23.33,75.03
Madhya Pradesh,MP,State,Rewa,MP-REW,24.53,81.3
Madhya Pradesh,MP,State,Sagar,MP-SAG,23.83,78.73
Madhya Pradesh,MP,State,Satna,MP-SAT,24.58,80.83
Madhya Pradesh,MP,State,Sehore,MP-SEH,23.2,77.08
Madhya Pradesh,MP,State,Seoni,MP-SEO,22.08,79.55
Madhya Pradesh,MP,State,Shahdol,MP-SHA,23.28,81.35
Madhya Pradesh,MP,State,Shajapur,MP-SHA,23.43,76.28
Madhya Pradesh,MP,State,Sheopur,MP-SHE,25.67,76.7
Madhya Pradesh,MP,State,Shivpuri,MP-SHI,25.43,77.65
Madhya Pradesh,MP,State,Sidhi,MP-SID,24.42,81.88
Madhya Pradesh,MP,State,Singrauli,MP-SIN,24.2,82.67
Madhya Pradesh,MP,State,Tikamgarh,MP-TIK,24.75,78.83
Madhya Pradesh,MP,State,Ujjain,MP-UJJ,23.18,75.77
Madhya Pradesh,MP,State,Umaria,MP-UMA,23.53,80.83
Madhya Pradesh,MP,State,Vidisha,MP-VID,23.52,77.82
Madhya Pradesh,MP,State,Mauganj,MP-MAU,24.68,81.88
Madhya Pradesh,MP,State,Maihar,MP-MAI,24.27,80.75
Madhya Pradesh,MP,State,Pandhurna,MP-PAN,21.6,78.53
Maharashtra,MH,State,Ahmednagar,MH-AHM,19.08,74.73
Maharashtra,MH,State,Akola,MH-AKO,20.7,77.0
Maharashtra,MH,State,Amravati,MH-AMR,20.93,77.75
Maharashtra,MH,State,Chhatrapati Sambhaji Nagar,MH-CHH,19.88,75.33
Maharashtra,MH,State,Beed,MH-BEE,18.98,75.75
Maharashtra,MH,State,Bhandara,MH-BHA,21.17,79.65
Maharashtra,MH,State,Buldhana,MH-BUL,20.53,76.18
Maharashtra,MH,State,Chandrapur,MH-CHA,19.95,79.3
Maharashtra,MH,State,Dhule,MH-DHU,20.9,74.78
Maharashtra,MH,State,Gadchiroli,MH-GAD,20.18,80.0
Maharashtra,MH,State,Gondia,MH-GON,21.45,80.2
Maharashtra,MH,State,Hingoli,MH-HIN,19.72,77.15
Maharashtra,MH,State,Jalgaon,MH-JAL,21.0,75.57
Maharashtra,MH,State,Jalna,MH-JAL,19.83,75.88
Maharashtra,MH,State,Kolhapur,MH-KOL,16.7,74.23
Maharashtra,MH,State,Latur,MH-LAT,18.4,76.58
Maharashtra,MH,State,Mumbai City,MH-MUM,18.93,72.83
Maharashtra,MH,State,Mumbai Suburban,MH-MUM,19.076,72.8777
Maharashtra,MH,State,Nagpur,MH-NAG,21.1458,79.0882
Maharashtra,MH,State,Nanded,MH-NAN,19.15,77.32
Maharashtra,MH,State,Nandurbar,MH-NAN,21.37,74.25
Maharashtra,MH,State,Nashik,MH-NAS,20.0,73.78
Maharashtra,MH,State,Dharashiv,MH-DHA,18.18,76.03
Maharashtra,MH,State,Palghar,MH-PAL,19.7,72.77
Maharashtra,MH,State,Parbhani,MH-PAR,19.27,76.78
Maharashtra,MH,State,Pune,MH-PUN,18.5204,73.8567
Maharashtra,MH,State,Raigad,MH-RAI,18.52,73.18
Maharashtra,MH,State,Ratnagiri,MH-RAT,16.98,73.3
Maharashtra,MH,State,Sangli,MH-SAN,16.85,74.58
Maharashtra,MH,State,Satara,MH-SAT,17.68,74.0
Maharashtra,MH,State,Sindhudurg,MH-SIN,16.12,73.7
Maharashtra,MH,State,Solapur,MH-SOL,17.68,75.92
Maharashtra,MH,State,Thane,MH-THA,19.2,72.97
Maharashtra,MH,State,Wardha,MH-WAR,20.75,78.6
Maharashtra,MH,State,Washim,MH-WAS,20.1,77.13
Maharashtra,MH,State,Yavatmal,MH-YAV,20.4,78.13
Manipur,MN,State,Bishnupur,MN-BIS,24.63,93.77
Manipur,MN,State,Chandel,MN-CHA,24.33,94.0
Manipur,MN,State,Churachandpur,MN-CHU,24.33,93.68
Manipur,MN,State,Imphal East,MN-IMP,24.8,94.0
Manipur,MN,State,Imphal West,MN-IMP,24.817,93.9368
Manipur,MN,State,Jiribam,MN-JIR,24.8,93.12
Manipur,MN,State,Kakching,MN-KAK,24.48,93.98
Manipur,MN,State,Kamjong,MN-KAM,24.95,94.5
Manipur,MN,State,Kangpokpi,MN-KAN,25.15,93.97
Manipur,MN,State,Noney,MN-NON,24.85,93.6
Manipur,MN,State,Pherzawl,MN-PHE,24.25,93.2
Manipur,MN,State,Senapati,MN-SEN,25.27,94.02
Manipur,MN,State,Tamenglong,MN-TAM,25.0,93.5
Manipur,MN,State,Tengnoupal,MN-TEN,24.38,94.15
Manipur,MN,State,Thoubal,MN-THO,24.63,94.0
Manipur,MN,State,Ukhrul,MN-UKH,25.12,94.37
Meghalaya,ML,State,East Garo Hills,ML-EAS,25.6,90.58
Meghalaya,ML,State,East Jaintia Hills,ML-EAS,25.3,92.4
Meghalaya,ML,State,East Khasi Hills,ML-EAS,25.5788,91.8933
Meghalaya,ML,State,Eastern West Khasi Hills,ML-EAS,25.52,91.5
Meghalaya,ML,State,North Garo Hills,ML-NOR,25.9,90.5
Meghalaya,ML,State,Ri Bhoi,ML-RI ,25.9,91.88
